Material,JOB_TYPE,BOARD_TYPE,METAL_CORE_TYPE,HATS_COUPON_TYPE,FAI_TYPE,FINISH_CS,SEL_PLT_CS,NEED_MICROWAVE,EXIST_VCUT,CUST_THK_MEASURE_METOD,SERIAL_NUM,CAM_LAYUP,FINISH_PS,SEL_PLT_PS,EXIST_CU_SPOT,EXIST_CU_FILL,EXIST_SILVER_PRINT,EXIST_LASER,EXIST_SUB,EXIST_IMPEDANCE,EXIST_CU_PASTE,CIRCUIT_TYPE,SAP_HS,SAP_FAMILY_GROUP,PLATED_COUNTERSINK,ETCHBACK,SUPPLY_IN_PCBS_PANEL,EXIST_DR2,SURFACE_CONTAMINATION,COCOON_DEPT_ROUT,VGROOVE_METHOD,PHASE_METHOD,STRAIN_RELIEF,ROUTING_PHASE,PEELABLE,SPEC,COPPER_TYPE_TOP,COPPER_TYPE_BOT,SPOT_TYPE,PASTE_APPLY,SILK,PASTE_TYPE,FAMILY_GROUP,CU_SPOT_SIDE,ETCH_PROTECT_CS,ETCH_PROTECT_PS,COCOON_TYPE,THICKNESS_CALC_METHOD,CUSTOMER,CUSTOMER_REV,ME_DATA_TO_C_FLSTOCKRECEIPT,ME_MTR_GROUP,ME_DATA_TO_C_ASSEMBLY,ME_DATA_TO_C_REMOVAL,PROC_CODE,SM_SIDE,SS_SIDE,CROSS_SEC_NUM,SUPPLY_IN_ARRAY,HS_VENDOR,END_USE_MATERIAL,WRAP_REQUIRMENT,GROUP_B,ALLOW_REJECTS_IN_ARRAY,IMAGE_ENG,CUSTOMER_ITEM,END_CUSTOMER,LEADING_MATERIAL,SM_COLOR_CS,SM_COLOR_PS,SS_COLOR_CS,SS_COLOR_PS,BURIED_RESISTOR_EXIST,BURIED_CAPACITOR_EXIST,CAVITY_EXIST,JOB_NON_STOCK_MATERIAL,AIR_CAVITY,JOB_LASER_TYPE,CARBON
M1X400A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,YES,RIGID,NO,CERAMIC,NO,YES,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,VACUUM,SCREEN,THROUGH,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,1094R622-001,10333,M1X400A-A,,,,,,,,,,,
M1X401A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,NONE,NONE,NO,NO,OVER LAMINATE,NO,FOIL,NONE,NONE,NO,NO,YES,YES,YES,NO,NO,RIGID,NO,TEFLON,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,TEFLON,NONE,ARTWORK,ARTWORK,NONE,OVER LAMINATE,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,NONE,CS,NONE,NO,NONE,NO,NONE,NO,NA,OLEGF,1094N663-001,,M1X401A-A,,,,,,,,,,,
M1X402A-A,STANDARD,MILITARY,NONE,EXTERNAL,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,YES,NO,NO,NO,NO,NO,YES,RIGID,NO,POLYAMID,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,THROUGH,VACUUM,SPRINT,THROUGH,POLYAMID,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6012 CLASS3,NO,NA,OLEGF,1094P922-001,10333,M1X402A-A,,,,,,,,,,,
M1X403A-A,STANDARD,COMMERCIAL,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,MIXED,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10798,A01,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,ONE,NO,NONE,NO,NONE,NO,NA,ALEXK,PC-70234,10798,M1X403A-A,,,,,,,,,,,
M1X404A-A,STANDARD,COMMERCIAL,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON ACCESSORY,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6013 CLASS2,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON ACCESSORY,11692,,NONE,IPC 6013 CLASS2,NONE,NONE,ABCL,CS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NO,NONE,612840101,,M1X404A-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1X405A-A,STANDARD,GENERAL,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,NO,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,SIGNAL,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10375,,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,IGORK,LP DRIVER CAP'SBW10-026,10375,M1X405A-A,,,,,,,,,,,
M1X406A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,NO,NO,YES,NO,YES,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,RHR-RHU,OVER MASK ON PLATED COPPER,10302,1,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,HERZELE,6750-7351-00,,M1X406A-A,,,,,,,,,,,
M1X406B-A,STANDARD,MILITARY,NONE,NONE,PER AS9102 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,YES,RIGID FLEX,NO,KAPTON,NO,NO,NO,NO,NO,YES,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS3,SIGNAL,SIGNAL,NONE,VACUUM,SPRINT,THROUGH,MIX,NONE,ARTWORK,ARTWORK,RHR-RHU,OVER MASK ON PLATED COPPER,11120,A,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6013 CLASS3,NO,NA,IGORK,6750-7351-00,10302,M1X406B-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1X407A-A,STANDARD,GENERAL,NONE,NONE,NONE,CHM_TIN,NONE,NO,NO,OVER ACCESSORY,YES,FOIL,CHM_TIN,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,NO,NO,NO,YES,NONE,MANUAL AND MACHINE,NO,HOLE,NONE,IPC 6013 CLASS2,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER ACCESSORY,11692,,NONE,IPC 6013 CLASS2,NONE,NONE,ABCL,NONE,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,IGORK,6105202014022.471.94601,11692,M1X407A-A,,,,,,,,,,,
M1X408A-A,,GENERAL,,,,CHM_SILV,,,,,,,CHM_SILV,,,,,,,,,RIGID,,TEFLON,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,YES,,,,,,,,,,,,,,,,,,,,
M1X409A-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,YES,RIGID,NO,CERAMIC,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,VACUUM,SPRINT,THROUGH,CERAMIC,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10143,,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,NONE,PC-11589A,10143,M1X409A-A,,,,,,,,,,,
M1X410A-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,-,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,JALALH,M4064B01,12146,M1X410A-A,,,,,,,,,,,
M1X410B-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,A,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,M4064B01,12146,M1X410B-A,,,,,,,,,,,
M1X410C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,B,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,YELENAC,M4064B01,12146,M1X410C-A,,,,,,,,,,,
M1X410D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,C,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,M4064B01,12146,M1X410D-A,,,,,NO,NO,NO,,,,
M1X411A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,-,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,JALALH,M4064B02,12146,M1X411A-A,,,,,,,,,,,
M1X411B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,A,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,M4064B02,12146,M1X411B-A,,,,,,,,,,,
M1X412A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,YES,NO,YES,YES,RIGID,NO,TEFLON,NO,YES,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,VACUUM,SPRINT,LASER-THROUGH,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,ALEXK,1094N711-001,10333,M1X412A-A,,,,,,,,,,,
M1X413A-A,,MILITARY,,,,CHM_GOLD,,,,,,,CHM_GOLD,,,,,,,YES,YES,RIGID,,GLASS EPOXY,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,YES,,,,,,,,RAFAEL,,,,,,,,,,,,
M1X413B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,CHM_SILV,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_SILV,NONE,NO,NO,NO,NO,NO,YES,YES,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,VACUUM,SPRINT,THROUGH,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,C,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6012 CLASS3,NO,NA,ALEXK,FERA00601A,10324,M1X413B-A,,,,,,,,,,,
M1X413C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,CHM_SILV,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_SILV,NONE,NO,NO,NO,NO,NO,YES,YES,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,VACUUM,SPRINT,THROUGH,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,A,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6012 CLASS3,NO,NA,SHLOMON,FERA00601B,10208,M1X413C-A,,,,,,,,,,,
M1X413D-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_SILV,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_SILV,NONE,NO,NO,NO,NO,NO,YES,YES,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,MIXED,MIXED,NONE,VACUUM,SPRINT,THROUGH,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10543,B,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6012 CLASS3,NO,NA,ALEXK,FERA00601C,10208,M1X413D-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1X414A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON ACCESSORY,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,YES,NO,NO,YES,RIGID,NO,CERAMIC,NO,YES,NO,YES,NO,NO,NONE,MANUAL,NO,HOLE,NONE,IPC 6012 CLASS3,MIXED,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,ABST,CS,CS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,MEIRV,1094L631-001,,M1X414A-A,,,,,,,,,,,
M1X414B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON ACCESSORY,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,YES,NO,NO,YES,RIGID,NO,CERAMIC,NO,YES,NO,YES,NO,NO,NONE,MANUAL,NO,HOLE,NONE,IPC 6012 CLASS3,MIXED,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,ABST,CS,CS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,MEIRV,1094L631-001,,M1X414B-A,,,,,,,,,,,
M1X414C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON ACCESSORY,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,YES,NO,NO,YES,RIGID,NO,CERAMIC,NO,YES,NO,YES,NO,NO,NONE,MANUAL,NO,HOLE,NONE,IPC 6012 CLASS3,MIXED,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,ABST,CS,CS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,MEIRV,1094L631-001 R,,M1X414B-A,,,,,,,,,,,
M1X415A-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10015,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,KOSTAS,6760,10015,M1X415A-A,,,,,,,,,,,
M1X416A-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,NO,NO,YES,YES,RIGID,NO,CERAMIC,NO,YES,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,VACUUM,SPRINT,THROUGH,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,NONE,1094P572-001,10333,M1X416A-A,,,,,,,,,,,
M1X417A-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,SIGNAL,NONE,NONE,SCREEN,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER PLATED COPPER,10143,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,MEIRV,PC-11605A+PC-11599A,,M1X417A-A,,,,,,,,,,,
M1X418A-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER PLATED COPPER,10143,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,MEIRV,PC-11605A+PC-11599A,,M1X418A-A,,,,,,,,,,,
M1X419A-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,CNTR_HG,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10619,B,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,ALEXK,138AC105,10619,M1X419A-A,,,,,,,,,,,
M1X420A-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GMN,NO,YES,NO,NO,NO,NO,NONE,MACHINE,NO,HOLE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10764,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,ALL,NO,NONE,NO,IPC 6012 CLASS3,YES,NA,HERZELE,219901040104 GMN,,M1X420A-A,,,,,,,,,,,
M1X421A-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID FLEX,NO,KAPTON,NO,NO,NO,NO,NO,YES,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,RHR-RHU,OVER MASK ON PLATED COPPER,12176,,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,HERZELE,096447A-00,10303,M1X421A-A,,,,,,,,,,,
M1X422A-A,STANDARD,MILITARY,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10303,2,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,082840A-00,10303,M1X422A-A,,,,,,,,,,,
M1X423A-A,STANDARD,GENERAL,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,YES,NO,NO,NO,FLEX,NO,KAPTON,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6013 CLASS2,,,NONE,NONE,NONE,NONE,KAPTON,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12188,2,NONE,IPC 6013 CLASS2,NONE,NONE,ABCL,CS,CS,ONE,NO,NONE,NO,NONE,NO,NA,HERZELE,SCORPION  X,12188,M1X423A-A,,,,,,,,,,,
M1X423B-A,STANDARD,GENERAL,NONE,NONE,NONE,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,YES,NO,NO,NO,FLEX,NO,KAPTON,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6013 CLASS2,,,NONE,NONE,NONE,NONE,KAPTON,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12188,2,NONE,IPC 6013 CLASS2,NONE,NONE,ABCL,CS,CS,ONE,NO,NONE,NO,NONE,NO,NA,MARINAN,SCORPION  X REV2-00,12188,M1X423B-A,,,,,,,,,,,
M1X423C-A,STANDARD,GENERAL,NONE,NONE,NONE,CHM_GOLD,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,FOIL,CHM_GOLD,NONE,NO,NO,NO,YES,NO,NO,NO,FLEX,NO,KAPTON,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6013 CLASS2,,,NONE,NONE,NONE,NONE,KAPTON,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12188,3,NONE,IPC 6013 CLASS2,NONE,NONE,ABCL,CS,CS,ONE,NO,NONE,NO,NONE,NO,NA,MARINAN,SCORPION  X REV3-00,12188,M1X423C-A,,,,,,,,,,,
M1X424A-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,TEFLON,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SPRINT,NONE,TEFLON,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10315,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,NONE,CS,PARTIAL,NO,NONE,NO,NONE,NO,NA,ALEXK,P5349V2,10315,M1X424A-A,,,,,,,,,,,
M1X425A-A,,MILITARY,,,,HAL,,,,,,,HAL,,,,,,,,,RIGID,,GLASS EPOXY,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
